Web, Population, Crossover, Mutation, Fitness, Copies, Days
Juice Shop, 32, 2, random, 6, 0.03125, 0.082533754016204
Juice Shop, 16, 2, random, 12, 0.75, 0.039453215532408
Static, 64, 1, random, 11, 1, 0.129318672789352
Static, 32, 1, one, 11, 0.625, 0.0495843471875
Static, 32, 1, one, 11, 1, 0.057289398773148
Static, 32, 1, one, 11, 0.78125, 0.054882151435185
Juice Shop, 16, 1, one, 12, 0.625, 0.033512449016204
Static, 16, 2, one, 11, 1, 0.023460744456019
Static, 32, 1, random, 11, 1, 0.0563968475
Static, 16, 2, random, 11, 1, 0.022960204849537
Static, 32, 2, random, 11, 1, 0.0561046325
Static, 32, 1, one, 11, 1, 0.056681388888889
Static, 32, 1, random, 11, 1, 0.056827298101852
Static, 16, 2, one, 11, 1, 0.023417657337963
Static, 32, 1, random, 11, 1, 0.056653061712963
Static, 16, 1, random, 11, 1, 0.023445897928241
Static, 16, 1, one, 11, 1, 0.023414556516204
Static, 32, 2, random, 11, 1, 0.056971635451389
Static, 32, 2, random, 11, 1, 0.056685060914352
Static, 32, 1, random, 3, 0.03125, 0.057224431064815
Static, 16, 2, random, 11, 1, 0.023674312939815
Juice Shop, 16, 2, random, 12, 0.5625, 0.037192507592593
Juice Shop, 16, 1, random, 12, 0.8125, 0.037044738611111
Juice Shop, 16, 1, random, 12, 0.4375, 0.042932695601852
Static, 16, 2, random, 11, 1, 0.023411697638889
Static, 16, 2, random, 11, 1, 0.023376623842593
Juice Shop, 16, 1, one, 12, 0.4375, 0.046354181793982
Static, 16, 1, one, 11, 1, 0.023178606099537
Juice Shop, 16, 2, random, 12, 0.6875, 0.046376488842593
Juice Shop, 16, 1, one, 12, 0.5, 0.035440780150463
Juice Shop, 16, 1, one, 12, 0.75, 0.036250935092593
Static, 32, 2, random, 11, 1, 0.056943280416667
Juice Shop, 32, 1, random, 3, 0.03125, 0.083206261631945
Juice Shop, 16, 2, random, 12, 0.75, 0.035967558333333
Static, 16, 1, random, 11, 1, 0.023019225277778
Static, 16, 2, random, 11, 1, 0.023268508854167
Juice Shop, 16, 1, one, 12, 0.6875, 0.036026503738426
Juice Shop, 16, 2, random, 12, 0.75, 0.036548350752315
Juice Shop, 16, 1, random, 12, 0.5, 0.038407472997685
Static, 16, 2, one, 11, 1, 0.02357168087963
Static, 32, 2, random, 11, 1, 0.056808484884259
Juice Shop, 16, 2, random, 12, 0.8125, 0.038198915891204
Static, 64, 2, one, 11, 1, 0.127363073194444
Juice Shop, 16, 1, one, 12, 0.6875, 0.032216608078704
Static, 16, 2, one, 11, 1, 0.023446951006945
Static, 32, 1, one, 11, 1, 0.056031734513889
Juice Shop, 16, 1, random, 6, 0.0625, 0.037049928078704
Juice Shop, 16, 2, random, 12, 0.625, 0.040808500532407
Juice Shop, 32, 2, random, 12, 0.84375, 0.08259790849537
Juice Shop, 16, 2, one, 12, 0.875, 0.036649745289352
Static, 32, 1, random, 11, 1, 0.056952580659722
Static, 16, 1, one, 11, 1, 0.023549198090278
Juice Shop, 16, 2, one, 12, 0.6875, 0.037099851041667
Static, 16, 1, random, 11, 1, 0.023582929907407
Juice Shop, 16, 1, one, 12, 0.6875, 0.036442155162037
Static, 16, 1, random, 11, 1, 0.0235319246875
Juice Shop, 32, 2, one, 6, 0.0625, 0.077901071770833
Static, 16, 1, random, 11, 1, 0.023725728680556
Juice Shop, 16, 2, one, 12, 0.6875, 0.039978513877315
Static, 16, 2, random, 11, 1, 0.023568353020833
Juice Shop, 32, 1, random, 12, 0.84375, 0.08259431400463
Static, 32, 1, one, 11, 1, 0.052632060185185
Juice Shop, 16, 1, random, 12, 0.5, 0.039632133240741
Juice Shop, 16, 2, one, 12, 0.75, 0.035465683993056
Static, 64, 2, random, 11, 1, 0.129905546793982
Juice Shop, 32, 1, random, 6, 0.03125, 0.081698275752315
Juice Shop, 32, 2, random, 6, 0.03125, 0.08205570431713
Static, 32, 1, one, 11, 1, 0.049858241388889
Static, 16, 1, one, 11, 1, 0.023453841469907
Juice Shop, 16, 2, one, 12, 0.875, 0.03773511568287
Static, 16, 2, one, 11, 0.9375, 0.023529437986111
Juice Shop, 32, 1, one, 12, 0.84375, 0.080755249236111
Static, 32, 2, random, 11, 1, 0.057351406643519
Static, 32, 2, random, 11, 1, 0.05658604994213
Juice Shop, 16, 1, random, 12, 0.625, 0.03757909150463
Juice Shop, 32, 2, random, 6, 0.03125, 0.083320971446759
Static, 16, 2, one, 11, 0.875, 0.02229980025463
Static, 32, 1, random, 11, 1, 0.056544169363426
Juice Shop, 16, 1, one, 12, 0.6875, 0.038877576828704
Static, 16, 1, random, 3, 0.0625, 0.02336030037037
Static, 32, 2, one, 11, 1, 0.057304891354167
Juice Shop, 16, 2, random, 12, 0.4375, 0.040574804756945
Juice Shop, 32, 1, one, 6, 0.0625, 0.077394971701389
Static, 32, 2, random, 11, 1, 0.056797088125
Juice Shop, 16, 1, one, 12, 0.625, 0.036663701550926
Juice Shop, 16, 2, one, 12, 0.6875, 0.043643614293982
Juice Shop, 32, 1, one, 12, 0.84375, 0.080955043726852
Juice Shop, 16, 2, random, 12, 0.5, 0.043789579826389
Juice Shop, 32, 2, random, 6, 0.03125, 0.081297697881945
Juice Shop, 32, 2, one, 12, 0.90625, 0.083460112662037
Static, 64, 2, random, 11, 1, 0.128687931030093
Static, 16, 2, random, 11, 1, 0.023002210381945
Static, 32, 1, random, 11, 1, 0.057142249282407
Static, 16, 2, random, 11, 1, 0.023017060810185
Static, 32, 2, one, 11, 1, 0.056618488298611
Static, 32, 2, one, 11, 1, 0.056639723622685
Static, 16, 1, one, 11, 1, 0.018737782615741
Juice Shop, 16, 2, random, 12, 0.625, 0.039141772164352
Juice Shop, 16, 1, random, 12, 0.8125, 0.036335069537037
Static, 32, 1, random, 11, 1, 0.05682725162037
Static, 32, 2, one, 11, 0.84375, 0.055554558449074
Static, 16, 2, one, 11, 1, 0.023705321458333
Static, 16, 2, random, 11, 1, 0.023649882997685
Static, 16, 1, one, 11, 1, 0.023811046967593
Juice Shop, 32, 1, random, 12, 0.875, 0.082712752986111
Static, 16, 1, one, 11, 1, 0.022988190046296
Juice Shop, 16, 1, one, 12, 0.6875, 0.034969371493056
Juice Shop, 32, 1, random, 12, 0.84375, 0.082899932361111
Static, 16, 2, random, 11, 1, 0.023415272881945
Static, 16, 1, one, 11, 0.875, 0.021426759027778
Static, 32, 2, one, 11, 1, 0.056253782685185
Juice Shop, 32, 1, one, 12, 0.78125, 0.079687457627315
Static, 32, 2, random, 11, 1, 0.057042345625
Juice Shop, 32, 2, one, 12, 0.90625, 0.082364581655093
Juice Shop, 16, 1, random, 12, 0.5, 0.041176789259259
Static, 32, 1, random, 11, 1, 0.057237656400463
Juice Shop, 32, 2, one, 6, 0.03125, 0.081327932233796
Static, 32, 2, one, 11, 1, 0.055213505115741
Static, 64, 1, one, 11, 1, 0.121198707013889
Static, 32, 1, random, 11, 1, 0.05634247875
Static, 16, 1, one, 11, 1, 0.021792321481482
Static, 16, 1, one, 11, 0.8125, 0.023446575381945
Juice Shop, 16, 2, random, 6, 0.0625, 0.046656615173611
Juice Shop, 32, 2, one, 12, 0.96875, 0.082083844849537
Static, 16, 2, one, 11, 1, 0.023674816759259
Juice Shop, 16, 1, random, 12, 0.625, 0.037105433831019
Juice Shop, 16, 2, random, 12, 0.5, 0.037376322164352
Juice Shop, 32, 2, one, 6, 0.03125, 0.082337748935185
Juice Shop, 16, 2, one, 12, 0.625, 0.033174748055556
Static, 32, 1, one, 11, 1, 0.053437614537037
Juice Shop, 16, 1, random, 12, 0.5625, 0.04264741775463
Juice Shop, 16, 1, one, 12, 0.4375, 0.034519049884259
Static, 16, 1, random, 11, 1, 0.0232731646875
Juice Shop, 32, 2, random, 12, 0.90625, 0.082691941863426
Static, 16, 2, one, 11, 1, 0.022526627025463
Static, 32, 2, random, 11, 1, 0.056592229236111
Juice Shop, 32, 1, one, 12, 0.65625, 0.073208227546296
Static, 16, 1, random, 11, 1, 0.023655143356482
Juice Shop, 16, 1, random, 6, 0.0625, 0.037031696782408
Juice Shop, 16, 1, random, 12, 0.6875, 0.036744496215278
Juice Shop, 16, 2, random, 12, 0.625, 0.036446818668982
Static, 16, 1, one, 11, 1, 0.02325871994213
Juice Shop, 16, 2, one, 12, 0.5625, 0.037019189837963
Juice Shop, 16, 1, random, 3, 0.125, 0.045051556030093
Static, 64, 1, one, 11, 0.59375, 0.124874735092593
Static, 64, 1, random, 3, 0.015625, 0.129050406701389
Juice Shop, 16, 2, one, 12, 0.6875, 0.037038425081019
Static, 16, 2, random, 11, 1, 0.022907848402778
Static, 16, 1, random, 11, 1, 0.023016965347222
Static, 32, 1, random, 11, 1, 0.056198128252315
Juice Shop, 32, 1, random, 12, 0.9375, 0.08149712818287
Static, 32, 2, one, 11, 1, 0.05647875505787
Static, 16, 2, one, 11, 0.9375, 0.022748958969907
Static, 16, 2, one, 11, 1, 0.023621497662037
Juice Shop, 16, 2, random, 12, 0.8125, 0.037006325706019
Juice Shop, 16, 1, one, 12, 0.875, 0.038943573321759
Juice Shop, 32, 1, one, 12, 0.75, 0.082088559247685
Juice Shop, 16, 2, random, 12, 0.625, 0.036486208055556
Static, 32, 2, random, 11, 1, 0.056753355891204
Static, 16, 2, random, 11, 1, 0.023149743634259
Static, 32, 1, one, 11, 1, 0.056565782916667
Juice Shop, 16, 1, one, 12, 0.6875, 0.041459718171296
Static, 32, 2, one, 11, 1, 0.053685626458333
Static, 32, 2, one, 11, 1, 0.054897184074074
Static, 32, 1, random, 11, 1, 0.056646950694445
Juice Shop, 16, 1, random, 12, 0.6875, 0.037783573414352
Static, 16, 2, one, 11, 0.625, 0.021585244456019
Static, 32, 2, one, 11, 1, 0.055827378680556
Static, 16, 1, one, 11, 1, 0.022228431400463
Static, 16, 1, random, 11, 1, 0.023256451226852
Juice Shop, 32, 2, random, 12, 0.84375, 0.081626661296296
Juice Shop, 32, 2, random, 12, 0.875, 0.08248527005787
Static, 16, 1, one, 11, 1, 0.023302768136574
Static, 32, 2, one, 11, 0.65625, 0.052301487881945
Static, 16, 2, random, 11, 1, 0.023562406770833
Static, 16, 2, one, 11, 0.8125, 0.02217533474537
Static, 16, 2, random, 11, 1, 0.023185194930556
Juice Shop, 16, 2, one, 12, 0.5625, 0.036516852094908
Static, 32, 1, one, 11, 1, 0.05769815494213
Static, 16, 1, random, 11, 1, 0.023155200798611
Static, 32, 1, one, 11, 1, 0.051767492719907
Static, 16, 1, one, 11, 1, 0.021399176111111
Juice Shop, 32, 1, random, 12, 0.9375, 0.080558743946759
Juice Shop, 32, 1, random, 12, 0.90625, 0.082350158819445
Static, 32, 1, random, 11, 1, 0.057222273969907
Juice Shop, 32, 1, one, 12, 0.84375, 0.082078887141204
Static, 16, 2, random, 11, 1, 0.023956314930556
Static, 32, 2, one, 11, 1, 0.057514759247685
Static, 32, 1, one, 11, 0.84375, 0.053445881851852
Static, 32, 1, random, 11, 1, 0.056665377511574
Juice Shop, 32, 1, random, 12, 0.84375, 0.081639521018519
Juice Shop, 16, 2, one, 12, 0.75, 0.037628856145833
Static, 16, 2, one, 11, 0.875, 0.023561303668982
Static, 32, 2, one, 11, 1, 0.054278400902778
Static, 16, 2, one, 11, 1, 0.023155295486111
Static, 16, 1, random, 11, 1, 0.02346874318287
Juice Shop, 16, 1, one, 12, 0.375, 0.036807124756945
Static, 32, 1, random, 11, 1, 0.05692265494213
Static, 16, 1, one, 11, 0.875, 0.018500038009259
Static, 32, 2, random, 11, 1, 0.05666359869213
Juice Shop, 16, 2, one, 12, 0.625, 0.036097266435185
Static, 16, 1, random, 11, 1, 0.023451737928241
Static, 64, 2, one, 11, 0.828125, 0.126129326678241
Static, 32, 2, one, 11, 1, 0.056805885833333
Static, 32, 1, one, 11, 1, 0.055907439363426
Static, 32, 2, one, 11, 1, 0.056994059131945
Juice Shop, 32, 2, random, 12, 0.84375, 0.082676319201389
Juice Shop, 32, 1, one, 12, 0.875, 0.08088287755787
Juice Shop, 16, 2, one, 12, 0.625, 0.044307664571759
Juice Shop, 32, 1, one, 12, 0.71875, 0.079772434733796
Juice Shop, 16, 2, one, 12, 0.5, 0.037651681342593
Static, 16, 1, random, 11, 1, 0.02355320125
Juice Shop, 16, 2, one, 12, 0.875, 0.036041149594907
Static, 64, 1, random, 11, 1, 0.129925794502315
Static, 32, 1, one, 11, 1, 0.050734381099537
Static, 32, 2, random, 11, 1, 0.056704818460648
Juice Shop, 32, 2, one, 12, 0.84375, 0.080164474375
Static, 32, 1, one, 11, 1, 0.054391082025463
Static, 16, 1, random, 11, 1, 0.023372398553241
Juice Shop, 16, 1, one, 12, 0.625, 0.038554539247685
Static, 32, 2, random, 11, 1, 0.056893870023148
Juice Shop, 32, 2, one, 6, 0.03125, 0.081150139907407
Juice Shop, 16, 1, random, 12, 0.75, 0.037386624537037
Juice Shop, 32, 2, one, 12, 0.8125, 0.078769636898148
Static, 32, 2, random, 11, 1, 0.057353439224537
